target	alpha	l1	fold	term	selected
xptar	3e-05	0.1	0	00320	True
xptar	3e-05	0.1	0	20030	True
xptar	3e-05	0.1	0	11030	True
xptar	3e-05	0.1	0	02030	False
xptar	3e-05	0.1	0	10130	False
xptar	3e-05	0.1	0	01130	True
xptar	3e-05	0.1	0	00230	True
xptar	3e-05	0.1	0	10040	True
xptar	3e-05	0.1	0	01040	False
xptar	3e-05	0.1	0	00140	False
xptar	3e-05	0.1	0	00050	False
xptar	3e-05	0.1	0	60000	True
xptar	3e-05	0.1	0	51000	True
xptar	3e-05	0.1	0	42000	True
xptar	3e-05	0.1	0	33000	True
xptar	3e-05	0.1	0	24000	True
xptar	3e-05	0.1	0	15000	True
xptar	3e-05	0.1	0	06000	True
xptar	3e-05	0.1	0	50100	True
xptar	3e-05	0.1	0	41100	True
xptar	3e-05	0.1	0	32100	True
xptar	3e-05	0.1	0	23100	True
xptar	3e-05	0.1	0	14100	False
xptar	3e-05	0.1	0	05100	True
xptar	3e-05	0.1	0	40200	True
xptar	3e-05	0.1	0	31200	True
xptar	3e-05	0.1	0	22200	False
xptar	3e-05	0.1	0	13200	True
xptar	3e-05	0.1	0	04200	False
xptar	3e-05	0.1	0	30300	False
xptar	3e-05	0.1	0	21300	True
xptar	3e-05	0.1	0	12300	False
xptar	3e-05	0.1	0	03300	True
xptar	3e-05	0.1	0	20400	False
xptar	3e-05	0.1	0	11400	True
xptar	3e-05	0.1	0	02400	False
xptar	3e-05	0.1	0	10500	False
xptar	3e-05	0.1	0	01500	True
xptar	3e-05	0.1	0	00600	True
xptar	3e-05	0.1	0	50010	True
xptar	3e-05	0.1	0	41010	True
xptar	3e-05	0.1	0	32010	True
xptar	3e-05	0.1	0	23010	False
xptar	3e-05	0.1	0	14010	True
xptar	3e-05	0.1	0	05010	True
xptar	3e-05	0.1	0	40110	True
xptar	3e-05	0.1	0	31110	True
xptar	3e-05	0.1	0	22110	False
xptar	3e-05	0.1	0	13110	True
xptar	3e-05	0.1	0	04110	True
xptar	3e-05	0.1	0	30210	False
xptar	3e-05	0.1	0	21210	False
xptar	3e-05	0.1	0	12210	False
xptar	3e-05	0.1	0	03210	True
xptar	3e-05	0.1	0	20310	False
xptar	3e-05	0.1	0	11310	True
xptar	3e-05	0.1	0	02310	False
xptar	3e-05	0.1	0	10410	False
xptar	3e-05	0.1	0	01410	True
xptar	3e-05	0.1	0	00510	False
xptar	3e-05	0.1	0	40020	True
xptar	3e-05	0.1	0	31020	True
xptar	3e-05	0.1	0	22020	False
xptar	3e-05	0.1	0	13020	True
xptar	3e-05	0.1	0	04020	True
xptar	3e-05	0.1	0	30120	True
xptar	3e-05	0.1	0	21120	False
xptar	3e-05	0.1	0	12120	True
xptar	3e-05	0.1	0	03120	True
xptar	3e-05	0.1	0	20220	False
xptar	3e-05	0.1	0	11220	False
xptar	3e-05	0.1	0	02220	True
xptar	3e-05	0.1	0	10320	False
xptar	3e-05	0.1	0	01320	True
xptar	3e-05	0.1	0	00420	False
xptar	3e-05	0.1	0	30030	True
xptar	3e-05	0.1	0	21030	True
xptar	3e-05	0.1	0	12030	False
xptar	3e-05	0.1	0	03030	True
xptar	3e-05	0.1	0	20130	False
xptar	3e-05	0.1	0	11130	False
xptar	3e-05	0.1	0	02130	False
xptar	3e-05	0.1	0	10230	False
xptar	3e-05	0.1	0	01230	False
xptar	3e-05	0.1	0	00330	False
xptar	3e-05	0.1	0	20040	False
xptar	3e-05	0.1	0	11040	False
xptar	3e-05	0.1	0	02040	True
xptar	3e-05	0.1	0	10140	False
xptar	3e-05	0.1	0	01140	False
xptar	3e-05	0.1	0	00240	False
xptar	3e-05	0.1	0	10050	True
xptar	3e-05	0.1	0	01050	True
xptar	3e-05	0.1	0	00150	False
xptar	3e-05	0.1	0	00060	True
xptar	0.0001	0.5	0	00000	True
xptar	0.0001	0.5	0	10000	True
xptar	0.0001	0.5	0	01000	True
xptar	0.0001	0.5	0	00100	True
xptar	0.0001	0.5	0	00010	True
xptar	0.0001	0.5	0	20000	True
xptar	0.0001	0.5	0	11000	True
xptar	0.0001	0.5	0	02000	True
xptar	0.0001	0.5	0	10100	True
xptar	0.0001	0.5	0	01100	True
xptar	0.0001	0.5	0	00200	True
xptar	0.0001	0.5	0	10010	True
xptar	0.0001	0.5	0	01010	True
xptar	0.0001	0.5	0	00110	False
xptar	0.0001	0.5	0	00020	False
xptar	0.0001	0.5	0	30000	True
xptar	0.0001	0.5	0	21000	True
xptar	0.0001	0.5	0	12000	False
xptar	0.0001	0.5	0	03000	True
xptar	0.0001	0.5	0	20100	True
xptar	0.0001	0.5	0	11100	True
xptar	0.0001	0.5	0	02100	True
xptar	0.0001	0.5	0	10200	True
xptar	0.0001	0.5	0	01200	True
xptar	0.0001	0.5	0	00300	True
xptar	0.0001	0.5	0	20010	True
xptar	0.0001	0.5	0	11010	True
xptar	0.0001	0.5	0	02010	True
xptar	0.0001	0.5	0	10110	False
xptar	0.0001	0.5	0	01110	True
xptar	0.0001	0.5	0	00210	False
xptar	0.0001	0.5	0	10020	False
xptar	0.0001	0.5	0	01020	True
xptar	0.0001	0.5	0	00120	False
xptar	0.0001	0.5	0	00030	True
xptar	0.0001	0.5	0	40000	True
xptar	0.0001	0.5	0	31000	True
xptar	0.0001	0.5	0	22000	False
xptar	0.0001	0.5	0	13000	False
xptar	0.0001	0.5	0	04000	True
xptar	0.0001	0.5	0	30100	True
xptar	0.0001	0.5	0	21100	False
xptar	0.0001	0.5	0	12100	False
xptar	0.0001	0.5	0	03100	True
xptar	0.0001	0.5	0	20200	True
xptar	0.0001	0.5	0	11200	True
xptar	0.0001	0.5	0	02200	False
xptar	0.0001	0.5	0	10300	True
xptar	0.0001	0.5	0	01300	False
xptar	0.0001	0.5	0	00400	False
xptar	0.0001	0.5	0	30010	True
xptar	0.0001	0.5	0	21010	False
xptar	0.0001	0.5	0	12010	True
xptar	0.0001	0.5	0	03010	False
xptar	0.0001	0.5	0	20110	False
xptar	0.0001	0.5	0	11110	True
xptar	0.0001	0.5	0	02110	False
xptar	0.0001	0.5	0	10210	False
xptar	0.0001	0.5	0	01210	True
xptar	0.0001	0.5	0	00310	False
xptar	0.0001	0.5	0	20020	False
xptar	0.0001	0.5	0	11020	False
xptar	0.0001	0.5	0	02020	True
xptar	0.0001	0.5	0	10120	True
xptar	0.0001	0.5	0	01120	False
xptar	0.0001	0.5	0	00220	False
xptar	0.0001	0.5	0	10030	False
xptar	0.0001	0.5	0	01030	False
xptar	0.0001	0.5	0	00130	False
xptar	0.0001	0.5	0	00040	False
xptar	0.0001	0.5	0	50000	True
xptar	0.0001	0.5	0	41000	True
xptar	0.0001	0.5	0	32000	False
xptar	0.0001	0.5	0	23000	False
xptar	0.0001	0.5	0	14000	True
xptar	0.0001	0.5	0	05000	True
xptar	0.0001	0.5	0	40100	False
xptar	0.0001	0.5	0	31100	False
xptar	0.0001	0.5	0	22100	False
xptar	0.0001	0.5	0	13100	False
xptar	0.0001	0.5	0	04100	True
xptar	0.0001	0.5	0	30200	True
xptar	0.0001	0.5	0	21200	True
xptar	0.0001	0.5	0	12200	False
xptar	0.0001	0.5	0	03200	True
xptar	0.0001	0.5	0	20300	False
xptar	0.0001	0.5	0	11300	True
xptar	0.0001	0.5	0	02300	False
xptar	0.0001	0.5	0	10400	True
xptar	0.0001	0.5	0	01400	True
xptar	0.0001	0.5	0	00500	True
xptar	0.0001	0.5	0	40010	False
xptar	0.0001	0.5	0	31010	False
xptar	0.0001	0.5	0	22010	False
xptar	0.0001	0.5	0	13010	False
xptar	0.0001	0.5	0	04010	False
xptar	0.0001	0.5	0	30110	False
xptar	0.0001	0.5	0	21110	True
xptar	0.0001	0.5	0	12110	False
xptar	0.0001	0.5	0	03110	True
xptar	0.0001	0.5	0	20210	False
xptar	0.0001	0.5	0	11210	True
xptar	0.0001	0.5	0	02210	True
xptar	0.0001	0.5	0	10310	False
xptar	0.0001	0.5	0	01310	True
xptar	0.0001	0.5	0	00410	False
xptar	0.0001	0.5	0	30020	True
xptar	0.0001	0.5	0	21020	False
xptar	0.0001	0.5	0	12020	False
xptar	0.0001	0.5	0	03020	False
xptar	0.0001	0.5	0	20120	False
xptar	0.0001	0.5	0	11120	False
xptar	0.0001	0.5	0	02120	False
xptar	0.0001	0.5	0	10220	False
xptar	0.0001	0.5	0	01220	False
xptar	0.0001	0.5	0	00320	False
xptar	0.0001	0.5	0	20030	False
xptar	0.0001	0.5	0	11030	False
xptar	0.0001	0.5	0	02030	True
xptar	0.0001	0.5	0	10130	False
xptar	0.0001	0.5	0	01130	False
xptar	0.0001	0.5	0	00230	False
xptar	0.0001	0.5	0	10040	False
xptar	0.0001	0.5	0	01040	False
xptar	0.0001	0.5	0	00140	False
xptar	0.0001	0.5	0	00050	False
xptar	0.0001	0.5	0	60000	False
xptar	0.0001	0.5	0	51000	True
xptar	0.0001	0.5	0	42000	False
xptar	0.0001	0.5	0	33000	False
xptar	0.0001	0.5	0	24000	False
xptar	0.0001	0.5	0	15000	True
xptar	0.0001	0.5	0	06000	False
xptar	0.0001	0.5	0	50100	False
xptar	0.0001	0.5	0	41100	False
xptar	0.0001	0.5	0	32100	False
xptar	0.0001	0.5	0	23100	False
xptar	0.0001	0.5	0	14100	True
xptar	0.0001	0.5	0	05100	False
xptar	0.0001	0.5	0	40200	True
xptar	0.0001	0.5	0	31200	True
xptar	0.0001	0.5	0	22200	False
xptar	0.0001	0.5	0	13200	False
xptar	0.0001	0.5	0	04200	True
xptar	0.0001	0.5	0	30300	False
xptar	0.0001	0.5	0	21300	False
xptar	0.0001	0.5	0	12300	False
xptar	0.0001	0.5	0	03300	False
xptar	0.0001	0.5	0	20400	True
xptar	0.0001	0.5	0	11400	True
xptar	0.0001	0.5	0	02400	False
xptar	0.0001	0.5	0	10500	False
xptar	0.0001	0.5	0	01500	False
xptar	0.0001	0.5	0	00600	True
xptar	0.0001	0.5	0	50010	False
xptar	0.0001	0.5	0	41010	False
xptar	0.0001	0.5	0	32010	True
xptar	0.0001	0.5	0	23010	False
xptar	0.0001	0.5	0	14010	False
xptar	0.0001	0.5	0	05010	True
xptar	0.0001	0.5	0	40110	False
xptar	0.0001	0.5	0	31110	True
xptar	0.0001	0.5	0	22110	True
xptar	0.0001	0.5	0	13110	False
xptar	0.0001	0.5	0	04110	False
xptar	0.0001	0.5	0	30210	False
xptar	0.0001	0.5	0	21210	False
xptar	0.0001	0.5	0	12210	False
xptar	0.0001	0.5	0	03210	False
xptar	0.0001	0.5	0	20310	False
xptar	0.0001	0.5	0	11310	False
xptar	0.0001	0.5	0	02310	False
xptar	0.0001	0.5	0	10410	False
xptar	0.0001	0.5	0	01410	False
xptar	0.0001	0.5	0	00510	False
xptar	0.0001	0.5	0	40020	True
xptar	0.0001	0.5	0	31020	False
xptar	0.0001	0.5	0	22020	False
xptar	0.0001	0.5	0	13020	False
xptar	0.0001	0.5	0	04020	True
xptar	0.0001	0.5	0	30120	False
xptar	0.0001	0.5	0	21120	False
xptar	0.0001	0.5	0	12120	False
xptar	0.0001	0.5	0	03120	False
xptar	0.0001	0.5	0	20220	False
xptar	0.0001	0.5	0	11220	False
xptar	0.0001	0.5	0	02220	False
xptar	0.0001	0.5	0	10320	False
xptar	0.0001	0.5	0	01320	True
xptar	0.0001	0.5	0	00420	False
xptar	0.0001	0.5	0	30030	False
xptar	0.0001	0.5	0	21030	False
xptar	0.0001	0.5	0	12030	True
xptar	0.0001	0.5	0	03030	False
xptar	0.0001	0.5	0	20130	False
xptar	0.0001	0.5	0	11130	False
xptar	0.0001	0.5	0	02130	False
xptar	0.0001	0.5	0	10230	False
xptar	0.0001	0.5	0	01230	False
xptar	0.0001	0.5	0	00330	False
xptar	0.0001	0.5	0	20040	True
xptar	0.0001	0.5	0	11040	False
xptar	0.0001	0.5	0	02040	False
xptar	0.0001	0.5	0	10140	False
xptar	0.0001	0.5	0	01140	False
xptar	0.0001	0.5	0	00240	False
xptar	0.0001	0.5	0	10050	False
xptar	0.0001	0.5	0	01050	False
xptar	0.0001	0.5	0	00150	True
xptar	0.0001	0.5	0	00060	False
xptar	3e-05	0.5	0	00000	True
xptar	3e-05	0.5	0	10000	True
xptar	3e-05	0.5	0	01000	True
xptar	3e-05	0.5	0	00100	True
xptar	3e-05	0.5	0	00010	True
xptar	3e-05	0.5	0	20000	True
xptar	3e-05	0.5	0	11000	True
xptar	3e-05	0.5	0	02000	True
xptar	3e-05	0.5	0	10100	True
xptar	3e-05	0.5	0	01100	True
xptar	3e-05	0.5	0	00200	True
xptar	3e-05	0.5	0	10010	True
xptar	3e-05	0.5	0	01010	True
xptar	3e-05	0.5	0	00110	False
xptar	3e-05	0.5	0	00020	True
xptar	3e-05	0.5	0	30000	True
xptar	3e-05	0.5	0	21000	True
xptar	3e-05	0.5	0	12000	True
xptar	3e-05	0.5	0	03000	False
xptar	3e-05	0.5	0	20100	True
xptar	3e-05	0.5	0	11100	True
xptar	3e-05	0.5	0	02100	True
xptar	3e-05	0.5	0	10200	True
xptar	3e-05	0.5	0	01200	False
xptar	3e-05	0.5	0	00300	True
xptar	3e-05	0.5	0	20010	True
xptar	3e-05	0.5	0	11010	True
xptar	3e-05	0.5	0	02010	True
xptar	3e-05	0.5	0	10110	True
xptar	3e-05	0.5	0	01110	False
xptar	3e-05	0.5	0	00210	False
xptar	3e-05	0.5	0	10020	True
xptar	3e-05	0.5	0	01020	True
xptar	3e-05	0.5	0	00120	False
xptar	3e-05	0.5	0	00030	True
xptar	3e-05	0.5	0	40000	True
xptar	3e-05	0.5	0	31000	True
xptar	3e-05	0.5	0	22000	False
xptar	3e-05	0.5	0	13000	True
xptar	3e-05	0.5	0	04000	False
xptar	3e-05	0.5	0	30100	True
xptar	3e-05	0.5	0	21100	True
xptar	3e-05	0.5	0	12100	True
xptar	3e-05	0.5	0	03100	True
xptar	3e-05	0.5	0	20200	False
xptar	3e-05	0.5	0	11200	False
xptar	3e-05	0.5	0	02200	False
xptar	3e-05	0.5	0	10300	True
xptar	3e-05	0.5	0	01300	False
xptar	3e-05	0.5	0	00400	False
xptar	3e-05	0.5	0	30010	True
xptar	3e-05	0.5	0	21010	True
xptar	3e-05	0.5	0	12010	True
xptar	3e-05	0.5	0	03010	False
xptar	3e-05	0.5	0	20110	False
xptar	3e-05	0.5	0	11110	True
xptar	3e-05	0.5	0	02110	False
xptar	3e-05	0.5	0	10210	False
xptar	3e-05	0.5	0	01210	True
xptar	3e-05	0.5	0	00310	False
xptar	3e-05	0.5	0	20020	False
xptar	3e-05	0.5	0	11020	False
xptar	3e-05	0.5	0	02020	True
xptar	3e-05	0.5	0	10120	True
xptar	3e-05	0.5	0	01120	False
xptar	3e-05	0.5	0	00220	False
xptar	3e-05	0.5	0	10030	False
